المحافظة,القطاع,رأس_المال_المطلوب_بالألف,مؤشر_المخاطرة,القرار_الاستثماري
حلب,تصنيع غذائي,95.7,0.37,استثمار متوسط
حمص,طاقة متجددة,356.4,0.29,فرصة واعدة
درعا,تصنيع غذائي,203.3,0.36,فرصة واعدة
حمص,زراعة حديثة,75.4,0.6,استثمار متوسط
اللاذقية,زراعة حديثة,140.8,0.46,فرصة واعدة
دمشق,تصنيع غذائي,163.2,0.56,فرصة واعدة
حمص,طاقة متجددة,321.8,0.35,فرصة واعدة
حماة,خدمات تقنية,15.3,0.47,فرصة واعدة
دير الزور,طاقة متجددة,487.0,0.33,فرصة واعدة
ريف دمشق,طاقة متجددة,491.8,0.46,فرصة واعدة
درعا,تجارة إلكترونية,9.8,0.39,مخاطرة عالية
إدلب,تجارة إلكترونية,8.8,0.31,مخاطرة عالية
الرقة,صناعة هندسية,754.7,0.42,فرصة واعدة
اللاذقية,تجارة إلكترونية,18.0,0.21,فرصة واعدة
اللاذقية,صناعة هندسية,1091.9,0.65,فرصة واعدة
حلب,زراعة حديثة,134.5,0.47,فرصة واعدة
طرطوس,تجارة إلكترونية,33.3,0.2,فرصة واعدة
حماة,خدمات تقنية,15.1,0.2,فرصة واعدة
ريف دمشق,تجارة إلكترونية,22.2,0.2,فرصة واعدة
حلب,تجارة إلكترونية,17.7,0.58,مخاطرة عالية
حلب,تصنيع غذائي,47.5,0.32,مخاطرة عالية
حماة,صناعة هندسية,273.0,0.63,مخاطرة عالية
السويداء,زراعة حديثة,110.0,0.67,فرصة واعدة
حماة,زراعة حديثة,112.5,0.62,فرصة واعدة
دمشق,تصنيع غذائي,225.5,0.64,فرصة واعدة
طرطوس,زراعة حديثة,108.0,0.42,فرصة واعدة
إدلب,تجارة إلكترونية,10.5,0.38,مخاطرة عالية
اللاذقية,تصنيع غذائي,114.4,0.5,استثمار متوسط
السويداء,تصنيع غذائي,40.0,0.47,مخاطرة عالية
القنيطرة,صناعة هندسية,1132.7,0.26,فرصة واعدة
الرقة,زراعة حديثة,143.7,0.26,فرصة واعدة
السويداء,زراعة حديثة,86.3,0.6,فرصة واعدة
القنيطرة,خدمات تقنية,27.6,0.59,فرصة واعدة
الرقة,خدمات تقنية,19.5,0.58,فرصة واعدة
حماة,تصنيع غذائي,171.2,0.47,فرصة واعدة
دمشق,طاقة متجددة,261.6,0.48,استثمار متوسط
الرقة,خدمات تقنية,21.4,0.38,فرصة واعدة
دير الزور,طاقة متجددة,414.8,0.34,فرصة واعدة
ريف دمشق,تصنيع غذائي,239.6,0.64,فرصة واعدة
القنيطرة,صناعة هندسية,627.5,0.47,فرصة واعدة
حلب,طاقة متجددة,135.9,0.11,استثمار متوسط
طرطوس,طاقة متجددة,482.1,0.14,فرصة واعدة
ريف دمشق,خدمات تقنية,13.8,0.28,فرصة واعدة
حمص,تجارة إلكترونية,27.7,0.51,فرصة واعدة
الحسكة,خدمات تقنية,18.3,0.18,فرصة واعدة
طرطوس,تصنيع غذائي,153.7,0.13,فرصة واعدة
حمص,تجارة إلكترونية,23.0,0.55,فرصة واعدة
الحسكة,خدمات تقنية,29.0,0.31,فرصة واعدة
حلب,طاقة متجددة,261.0,0.64,استثمار متوسط
حماة,تصنيع غذائي,285.9,0.56,فرصة واعدة
السويداء,صناعة هندسية,486.1,0.33,فرصة واعدة
السويداء,تصنيع غذائي,163.0,0.43,فرصة واعدة
القنيطرة,طاقة متجددة,230.7,0.17,فرصة واعدة
إدلب,تجارة إلكترونية,31.4,0.65,فرصة واعدة
حمص,طاقة متجددة,139.3,0.46,مخاطرة عالية
حلب,زراعة حديثة,82.3,0.61,استثمار متوسط
ريف دمشق,صناعة هندسية,1017.3,0.68,فرصة واعدة
القنيطرة,تصنيع غذائي,280.8,0.56,فرصة واعدة
اللاذقية,صناعة هندسية,1135.2,0.37,فرصة واعدة
الحسكة,زراعة حديثة,111.7,0.36,فرصة واعدة
اللاذقية,تصنيع غذائي,103.2,0.23,استثمار متوسط
السويداء,خدمات تقنية,11.4,0.48,استثمار متوسط
دمشق,خدمات تقنية,11.1,0.46,مخاطرة عالية
حماة,زراعة حديثة,54.7,0.32,استثمار متوسط
إدلب,طاقة متجددة,97.0,0.39,مخاطرة عالية
طرطوس,تصنيع غذائي,254.0,0.15,فرصة واعدة
حماة,طاقة متجددة,134.5,0.3,استثمار متوسط
القنيطرة,صناعة هندسية,780.5,0.39,فرصة واعدة
الحسكة,تجارة إلكترونية,31.3,0.2,فرصة واعدة
اللاذقية,تصنيع غذائي,229.3,0.21,فرصة واعدة
اللاذقية,صناعة هندسية,768.9,0.59,فرصة واعدة
حلب,زراعة حديثة,54.2,0.15,استثمار متوسط
طرطوس,صناعة هندسية,291.9,0.37,استثمار متوسط
اللاذقية,زراعة حديثة,47.9,0.16,استثمار متوسط
اللاذقية,خدمات تقنية,7.3,0.6,مخاطرة عالية
حمص,تجارة إلكترونية,17.6,0.5,استثمار متوسط
الرقة,زراعة حديثة,114.9,0.58,فرصة واعدة
دير الزور,طاقة متجددة,327.4,0.28,فرصة واعدة
دير الزور,خدمات تقنية,25.2,0.4,فرصة واعدة
إدلب,خدمات تقنية,24.8,0.36,فرصة واعدة
درعا,زراعة حديثة,122.8,0.46,فرصة واعدة
حماة,زراعة حديثة,115.3,0.57,فرصة واعدة
حلب,زراعة حديثة,149.1,0.39,فرصة واعدة
ريف دمشق,تصنيع غذائي,297.6,0.2,فرصة واعدة
الحسكة,صناعة هندسية,598.8,0.5,فرصة واعدة
الحسكة,خدمات تقنية,16.7,0.11,فرصة واعدة
القنيطرة,تصنيع غذائي,297.9,0.33,فرصة واعدة
إدلب,طاقة متجددة,543.5,0.24,فرصة واعدة
دمشق,صناعة هندسية,783.2,0.59,استثمار متوسط
القنيطرة,صناعة هندسية,892.3,0.63,فرصة واعدة
حمص,زراعة حديثة,40.2,0.57,استثمار متوسط
دمشق,زراعة حديثة,53.7,0.35,استثمار متوسط
الرقة,تجارة إلكترونية,9.1,0.24,مخاطرة عالية
السويداء,زراعة حديثة,112.2,0.4,فرصة واعدة
الحسكة,تجارة إلكترونية,20.5,0.57,استثمار متوسط
درعا,تصنيع غذائي,220.2,0.49,فرصة واعدة
ريف دمشق,صناعة هندسية,230.2,0.41,مخاطرة عالية
حلب,خدمات تقنية,22.9,0.67,فرصة واعدة
اللاذقية,تصنيع غذائي,61.9,0.16,استثمار متوسط
دير الزور,صناعة هندسية,186.7,0.29,مخاطرة عالية
حلب,صناعة هندسية,729.1,0.29,فرصة واعدة
القنيطرة,خدمات تقنية,13.1,0.11,فرصة واعدة
دير الزور,تجارة إلكترونية,36.0,0.29,فرصة واعدة
ريف دمشق,خدمات تقنية,29.0,0.23,فرصة واعدة
الحسكة,زراعة حديثة,91.9,0.26,فرصة واعدة
ريف دمشق,زراعة حديثة,110.8,0.45,فرصة واعدة
اللاذقية,تجارة إلكترونية,21.8,0.26,فرصة واعدة
حماة,تجارة إلكترونية,12.1,0.29,استثمار متوسط
اللاذقية,خدمات تقنية,12.7,0.54,فرصة واعدة
درعا,خدمات تقنية,26.5,0.44,فرصة واعدة
درعا,زراعة حديثة,54.2,0.32,استثمار متوسط
دمشق,صناعة هندسية,758.5,0.64,فرصة واعدة
اللاذقية,تصنيع غذائي,54.6,0.68,مخاطرة عالية
حلب,تصنيع غذائي,259.9,0.36,فرصة واعدة
دير الزور,خدمات تقنية,14.3,0.24,فرصة واعدة
إدلب,تصنيع غذائي,222.6,0.39,فرصة واعدة
السويداء,تصنيع غذائي,224.5,0.18,فرصة واعدة
دير الزور,تجارة إلكترونية,20.7,0.4,فرصة واعدة
حمص,صناعة هندسية,1048.0,0.36,فرصة واعدة
درعا,زراعة حديثة,133.8,0.32,فرصة واعدة
دير الزور,طاقة متجددة,400.7,0.62,فرصة واعدة
القنيطرة,تصنيع غذائي,61.5,0.2,استثمار متوسط
طرطوس,صناعة هندسية,411.3,0.23,فرصة واعدة
اللاذقية,طاقة متجددة,507.4,0.15,فرصة واعدة
إدلب,تصنيع غذائي,91.2,0.56,مخاطرة عالية
دمشق,تجارة إلكترونية,28.6,0.66,استثمار متوسط
الرقة,تجارة إلكترونية,28.2,0.13,فرصة واعدة
السويداء,زراعة حديثة,131.0,0.11,فرصة واعدة
دمشق,خدمات تقنية,14.1,0.36,استثمار متوسط
حماة,تصنيع غذائي,217.3,0.12,فرصة واعدة
السويداء,خدمات تقنية,19.0,0.11,فرصة واعدة
حلب,خدمات تقنية,10.2,0.57,مخاطرة عالية
الحسكة,تجارة إلكترونية,31.5,0.25,فرصة واعدة
ريف دمشق,صناعة هندسية,815.2,0.53,فرصة واعدة
السويداء,تجارة إلكترونية,10.2,0.39,استثمار متوسط
حلب,صناعة هندسية,632.9,0.51,فرصة واعدة
القنيطرة,طاقة متجددة,545.0,0.25,فرصة واعدة
القنيطرة,تصنيع غذائي,240.8,0.44,فرصة واعدة
السويداء,تصنيع غذائي,212.7,0.7,فرصة واعدة
اللاذقية,خدمات تقنية,29.7,0.65,فرصة واعدة
القنيطرة,تجارة إلكترونية,17.9,0.69,استثمار متوسط
ريف دمشق,تجارة إلكترونية,27.2,0.34,فرصة واعدة
دير الزور,طاقة متجددة,402.7,0.64,فرصة واعدة
السويداء,صناعة هندسية,732.0,0.11,فرصة واعدة
حلب,طاقة متجددة,293.9,0.51,استثمار متوسط
السويداء,خدمات تقنية,6.0,0.26,مخاطرة عالية
دير الزور,صناعة هندسية,197.2,0.37,مخاطرة عالية
حلب,تصنيع غذائي,84.0,0.58,مخاطرة عالية
السويداء,صناعة هندسية,265.7,0.14,استثمار متوسط
الحسكة,تصنيع غذائي,238.9,0.69,فرصة واعدة
طرطوس,طاقة متجددة,334.0,0.21,فرصة واعدة
حمص,زراعة حديثة,138.3,0.36,فرصة واعدة
دمشق,خدمات تقنية,12.7,0.19,استثمار متوسط
حلب,زراعة حديثة,130.2,0.54,فرصة واعدة
السويداء,تجارة إلكترونية,29.0,0.48,فرصة واعدة
طرطوس,صناعة هندسية,750.8,0.49,فرصة واعدة
دير الزور,خدمات تقنية,25.0,0.24,فرصة واعدة
القنيطرة,زراعة حديثة,110.7,0.59,فرصة واعدة
حماة,خدمات تقنية,26.4,0.7,فرصة واعدة
الرقة,زراعة حديثة,101.4,0.58,فرصة واعدة
حماة,صناعة هندسية,1024.9,0.66,فرصة واعدة
حلب,طاقة متجددة,229.1,0.53,مخاطرة عالية
حلب,صناعة هندسية,211.8,0.12,مخاطرة عالية
حمص,تجارة إلكترونية,35.8,0.48,فرصة واعدة
حلب,تجارة إلكترونية,26.2,0.42,استثمار متوسط
دمشق,تصنيع غذائي,293.5,0.25,فرصة واعدة
دمشق,زراعة حديثة,134.8,0.41,فرصة واعدة
الرقة,صناعة هندسية,422.0,0.28,استثمار متوسط
درعا,زراعة حديثة,99.6,0.51,فرصة واعدة
القنيطرة,تجارة إلكترونية,40.2,0.48,فرصة واعدة
القنيطرة,تصنيع غذائي,114.8,0.7,استثمار متوسط
إدلب,صناعة هندسية,400.8,0.26,استثمار متوسط
درعا,زراعة حديثة,116.3,0.38,فرصة واعدة
طرطوس,تصنيع غذائي,291.1,0.2,فرصة واعدة
الحسكة,زراعة حديثة,94.0,0.37,فرصة واعدة
درعا,زراعة حديثة,71.1,0.43,فرصة واعدة
ريف دمشق,طاقة متجددة,310.3,0.63,فرصة واعدة
اللاذقية,طاقة متجددة,548.2,0.4,فرصة واعدة
ريف دمشق,صناعة هندسية,699.0,0.5,فرصة واعدة
إدلب,زراعة حديثة,115.1,0.66,فرصة واعدة
طرطوس,تصنيع غذائي,120.2,0.14,فرصة واعدة
حماة,خدمات تقنية,4.7,0.23,مخاطرة عالية
درعا,زراعة حديثة,36.3,0.37,مخاطرة عالية
حماة,تجارة إلكترونية,32.6,0.28,فرصة واعدة
القنيطرة,زراعة حديثة,20.8,0.2,مخاطرة عالية
حماة,تصنيع غذائي,258.5,0.65,فرصة واعدة
القنيطرة,تصنيع غذائي,212.4,0.45,فرصة واعدة
حلب,صناعة هندسية,601.6,0.32,فرصة واعدة
الحسكة,صناعة هندسية,775.9,0.31,فرصة واعدة
حمص,طاقة متجددة,555.8,0.25,فرصة واعدة
حماة,طاقة متجددة,418.8,0.67,فرصة واعدة
الحسكة,تصنيع غذائي,200.8,0.6,فرصة واعدة
القنيطرة,خدمات تقنية,17.2,0.17,فرصة واعدة
حماة,صناعة هندسية,875.4,0.63,فرصة واعدة
القنيطرة,تصنيع غذائي,197.2,0.12,فرصة واعدة
القنيطرة,خدمات تقنية,21.0,0.3,فرصة واعدة
الحسكة,طاقة متجددة,397.8,0.44,فرصة واعدة
حماة,خدمات تقنية,13.7,0.23,فرصة واعدة
القنيطرة,خدمات تقنية,13.6,0.33,فرصة واعدة
الرقة,تصنيع غذائي,165.8,0.4,فرصة واعدة
حلب,زراعة حديثة,62.8,0.54,استثمار متوسط
حمص,زراعة حديثة,123.2,0.64,فرصة واعدة
دمشق,تصنيع غذائي,237.0,0.48,فرصة واعدة
ريف دمشق,طاقة متجددة,96.4,0.3,مخاطرة عالية
طرطوس,خدمات تقنية,26.2,0.41,فرصة واعدة
طرطوس,تصنيع غذائي,145.5,0.43,فرصة واعدة
دير الزور,تجارة إلكترونية,26.2,0.45,فرصة واعدة
القنيطرة,طاقة متجددة,453.3,0.32,فرصة واعدة
إدلب,طاقة متجددة,446.2,0.14,فرصة واعدة
حماة,تصنيع غذائي,147.5,0.29,فرصة واعدة
الرقة,تصنيع غذائي,166.0,0.68,فرصة واعدة
الرقة,صناعة هندسية,632.3,0.66,فرصة واعدة
الحسكة,طاقة متجددة,477.2,0.64,فرصة واعدة
حلب,طاقة متجددة,294.1,0.22,استثمار متوسط
دير الزور,خدمات تقنية,28.8,0.34,فرصة واعدة
السويداء,تجارة إلكترونية,11.4,0.46,مخاطرة عالية
السويداء,خدمات تقنية,14.5,0.59,استثمار متوسط
الحسكة,طاقة متجددة,289.7,0.23,فرصة واعدة
ريف دمشق,زراعة حديثة,89.3,0.15,فرصة واعدة
الرقة,تجارة إلكترونية,17.4,0.23,فرصة واعدة
الرقة,تجارة إلكترونية,16.6,0.59,استثمار متوسط
السويداء,تصنيع غذائي,291.4,0.64,فرصة واعدة
اللاذقية,تجارة إلكترونية,10.6,0.54,مخاطرة عالية
اللاذقية,زراعة حديثة,102.4,0.57,فرصة واعدة
إدلب,تجارة إلكترونية,17.4,0.41,فرصة واعدة
حمص,زراعة حديثة,138.0,0.38,فرصة واعدة
طرطوس,خدمات تقنية,24.6,0.58,فرصة واعدة
إدلب,خدمات تقنية,5.3,0.45,مخاطرة عالية
درعا,خدمات تقنية,29.9,0.26,فرصة واعدة
إدلب,تجارة إلكترونية,26.9,0.42,فرصة واعدة
الحسكة,زراعة حديثة,116.7,0.2,فرصة واعدة
الرقة,تجارة إلكترونية,9.7,0.37,استثمار متوسط
طرطوس,تجارة إلكترونية,34.5,0.29,فرصة واعدة
حمص,طاقة متجددة,478.2,0.16,فرصة واعدة
حلب,تصنيع غذائي,261.7,0.32,فرصة واعدة
حلب,صناعة هندسية,336.4,0.29,مخاطرة عالية
دمشق,تصنيع غذائي,267.6,0.41,فرصة واعدة
إدلب,خدمات تقنية,9.7,0.53,استثمار متوسط
الحسكة,زراعة حديثة,142.3,0.19,فرصة واعدة
حمص,زراعة حديثة,76.2,0.19,فرصة واعدة
القنيطرة,زراعة حديثة,63.5,0.22,فرصة واعدة
حلب,صناعة هندسية,744.9,0.41,فرصة واعدة
حمص,طاقة متجددة,138.6,0.11,استثمار متوسط
حماة,زراعة حديثة,86.0,0.47,فرصة واعدة
درعا,خدمات تقنية,6.3,0.57,مخاطرة عالية
دمشق,طاقة متجددة,475.4,0.34,فرصة واعدة
الحسكة,زراعة حديثة,98.6,0.55,فرصة واعدة
دير الزور,طاقة متجددة,442.1,0.28,فرصة واعدة
دير الزور,صناعة هندسية,653.1,0.23,فرصة واعدة
دير الزور,تجارة إلكترونية,44.7,0.49,فرصة واعدة
الحسكة,تصنيع غذائي,159.9,0.34,فرصة واعدة
إدلب,تصنيع غذائي,216.1,0.16,فرصة واعدة
الحسكة,خدمات تقنية,29.3,0.18,فرصة واعدة
دمشق,خدمات تقنية,16.6,0.52,فرصة واعدة
دير الزور,زراعة حديثة,87.6,0.13,فرصة واعدة
حمص,تجارة إلكترونية,44.5,0.38,فرصة واعدة
إدلب,زراعة حديثة,131.3,0.38,فرصة واعدة
دمشق,طاقة متجددة,494.9,0.35,فرصة واعدة
الرقة,زراعة حديثة,103.3,0.2,فرصة واعدة
دمشق,تصنيع غذائي,110.6,0.23,استثمار متوسط
الحسكة,زراعة حديثة,113.5,0.59,فرصة واعدة
ريف دمشق,طاقة متجددة,322.2,0.59,فرصة واعدة
ريف دمشق,صناعة هندسية,189.5,0.58,مخاطرة عالية
الحسكة,تصنيع غذائي,233.5,0.22,فرصة واعدة
اللاذقية,تصنيع غذائي,56.3,0.11,استثمار متوسط
حماة,طاقة متجددة,595.5,0.59,فرصة واعدة
دمشق,زراعة حديثة,70.3,0.44,استثمار متوسط
دمشق,طاقة متجددة,187.1,0.63,مخاطرة عالية
درعا,خدمات تقنية,24.8,0.49,فرصة واعدة
السويداء,تصنيع غذائي,199.4,0.28,فرصة واعدة
طرطوس,تصنيع غذائي,242.5,0.17,فرصة واعدة
الحسكة,تصنيع غذائي,172.2,0.45,فرصة واعدة
الرقة,تصنيع غذائي,99.8,0.61,استثمار متوسط
حمص,صناعة هندسية,1180.5,0.2,فرصة واعدة
حمص,زراعة حديثة,68.3,0.11,فرصة واعدة
السويداء,صناعة هندسية,269.2,0.67,مخاطرة عالية
الرقة,تصنيع غذائي,256.1,0.56,فرصة واعدة
دمشق,صناعة هندسية,496.8,0.36,استثمار متوسط
الحسكة,صناعة هندسية,365.6,0.43,استثمار متوسط
الرقة,خدمات تقنية,18.7,0.35,فرصة واعدة
الحسكة,صناعة هندسية,353.9,0.53,مخاطرة عالية
درعا,تصنيع غذائي,186.8,0.22,فرصة واعدة
دير الزور,زراعة حديثة,54.3,0.12,فرصة واعدة
الرقة,تصنيع غذائي,179.1,0.47,فرصة واعدة
دمشق,تصنيع غذائي,165.1,0.17,فرصة واعدة
الحسكة,خدمات تقنية,12.8,0.34,فرصة واعدة
حمص,خدمات تقنية,23.3,0.35,فرصة واعدة
درعا,صناعة هندسية,493.5,0.43,استثمار متوسط
درعا,تصنيع غذائي,249.1,0.34,فرصة واعدة
القنيطرة,خدمات تقنية,18.6,0.65,فرصة واعدة
دمشق,زراعة حديثة,98.6,0.49,فرصة واعدة
القنيطرة,صناعة هندسية,574.7,0.3,فرصة واعدة
اللاذقية,صناعة هندسية,515.6,0.56,استثمار متوسط
ريف دمشق,صناعة هندسية,589.1,0.57,فرصة واعدة
السويداء,تصنيع غذائي,178.9,0.53,فرصة واعدة
القنيطرة,زراعة حديثة,45.9,0.7,استثمار متوسط
اللاذقية,صناعة هندسية,1193.5,0.25,فرصة واعدة
درعا,زراعة حديثة,132.8,0.5,فرصة واعدة
الحسكة,طاقة متجددة,573.5,0.25,فرصة واعدة
الحسكة,طاقة متجددة,344.7,0.53,فرصة واعدة
ريف دمشق,تصنيع غذائي,115.6,0.47,استثمار متوسط
السويداء,تصنيع غذائي,43.8,0.19,مخاطرة عالية
درعا,تجارة إلكترونية,26.7,0.13,فرصة واعدة
الحسكة,خدمات تقنية,27.0,0.45,فرصة واعدة
درعا,خدمات تقنية,17.4,0.11,فرصة واعدة
السويداء,صناعة هندسية,710.0,0.47,فرصة واعدة
الحسكة,طاقة متجددة,306.8,0.4,فرصة واعدة
اللاذقية,تجارة إلكترونية,28.5,0.27,فرصة واعدة
درعا,طاقة متجددة,480.7,0.37,فرصة واعدة
القنيطرة,صناعة هندسية,1106.0,0.19,فرصة واعدة
درعا,تصنيع غذائي,163.6,0.68,فرصة واعدة
ريف دمشق,طاقة متجددة,475.9,0.38,فرصة واعدة
حماة,زراعة حديثة,20.1,0.49,مخاطرة عالية
القنيطرة,تجارة إلكترونية,22.1,0.37,فرصة واعدة
حماة,طاقة متجددة,335.6,0.57,فرصة واعدة
دير الزور,طاقة متجددة,565.1,0.23,فرصة واعدة
دمشق,طاقة متجددة,311.6,0.16,فرصة واعدة
طرطوس,خدمات تقنية,27.3,0.64,فرصة واعدة
الرقة,زراعة حديثة,101.8,0.51,فرصة واعدة
إدلب,صناعة هندسية,246.4,0.3,مخاطرة عالية
الحسكة,طاقة متجددة,311.7,0.21,فرصة واعدة
دير الزور,خدمات تقنية,9.5,0.34,استثمار متوسط
درعا,زراعة حديثة,86.5,0.36,فرصة واعدة
درعا,تصنيع غذائي,154.0,0.66,فرصة واعدة
اللاذقية,طاقة متجددة,587.7,0.38,فرصة واعدة
درعا,طاقة متجددة,421.4,0.51,فرصة واعدة
درعا,طاقة متجددة,116.2,0.47,مخاطرة عالية
القنيطرة,صناعة هندسية,813.4,0.18,فرصة واعدة
حماة,صناعة هندسية,1037.9,0.57,فرصة واعدة
الرقة,تجارة إلكترونية,38.9,0.25,فرصة واعدة
درعا,تصنيع غذائي,74.2,0.32,مخاطرة عالية
حلب,تصنيع غذائي,40.4,0.22,مخاطرة عالية
دير الزور,تصنيع غذائي,62.0,0.18,مخاطرة عالية
القنيطرة,طاقة متجددة,528.7,0.63,فرصة واعدة
الرقة,صناعة هندسية,1167.4,0.49,فرصة واعدة
القنيطرة,طاقة متجددة,506.2,0.62,فرصة واعدة
درعا,تجارة إلكترونية,24.7,0.12,فرصة واعدة
دمشق,صناعة هندسية,975.8,0.19,فرصة واعدة
حلب,تجارة إلكترونية,36.2,0.47,فرصة واعدة
السويداء,زراعة حديثة,32.4,0.12,استثمار متوسط
حماة,تصنيع غذائي,40.4,0.31,مخاطرة عالية
اللاذقية,طاقة متجددة,491.9,0.32,فرصة واعدة
حماة,خدمات تقنية,18.9,0.19,فرصة واعدة
درعا,زراعة حديثة,36.4,0.25,استثمار متوسط
القنيطرة,طاقة متجددة,570.2,0.2,فرصة واعدة
ريف دمشق,تصنيع غذائي,193.6,0.49,فرصة واعدة
حمص,طاقة متجددة,362.4,0.14,فرصة واعدة
القنيطرة,زراعة حديثة,100.8,0.4,فرصة واعدة
اللاذقية,خدمات تقنية,14.7,0.41,فرصة واعدة
السويداء,صناعة هندسية,1171.4,0.47,فرصة واعدة
درعا,صناعة هندسية,1056.9,0.19,فرصة واعدة
درعا,طاقة متجددة,367.8,0.22,فرصة واعدة
دمشق,تجارة إلكترونية,7.4,0.25,مخاطرة عالية
حمص,تجارة إلكترونية,31.6,0.38,فرصة واعدة
حلب,زراعة حديثة,69.8,0.18,استثمار متوسط
طرطوس,زراعة حديثة,145.9,0.61,فرصة واعدة
دير الزور,صناعة هندسية,322.8,0.22,استثمار متوسط
طرطوس,خدمات تقنية,26.8,0.63,فرصة واعدة
القنيطرة,خدمات تقنية,15.1,0.58,فرصة واعدة
إدلب,طاقة متجددة,208.0,0.3,استثمار متوسط
حلب,تصنيع غذائي,124.2,0.11,فرصة واعدة
الحسكة,خدمات تقنية,16.2,0.31,فرصة واعدة
دمشق,زراعة حديثة,22.7,0.23,مخاطرة عالية
حلب,تجارة إلكترونية,34.5,0.28,فرصة واعدة
اللاذقية,طاقة متجددة,297.0,0.18,فرصة واعدة
الرقة,طاقة متجددة,441.5,0.28,فرصة واعدة
حمص,تصنيع غذائي,289.8,0.62,فرصة واعدة
القنيطرة,طاقة متجددة,274.9,0.31,فرصة واعدة
حلب,زراعة حديثة,82.9,0.68,استثمار متوسط
اللاذقية,خدمات تقنية,25.5,0.6,فرصة واعدة
طرطوس,تصنيع غذائي,274.0,0.5,فرصة واعدة
إدلب,تجارة إلكترونية,31.7,0.12,فرصة واعدة
حمص,طاقة متجددة,395.0,0.21,فرصة واعدة
دمشق,طاقة متجددة,206.3,0.56,استثمار متوسط
درعا,تصنيع غذائي,156.1,0.17,فرصة واعدة
درعا,تصنيع غذائي,98.0,0.62,مخاطرة عالية
السويداء,تصنيع غذائي,133.9,0.27,فرصة واعدة
درعا,طاقة متجددة,495.1,0.41,فرصة واعدة
ريف دمشق,خدمات تقنية,29.2,0.67,فرصة واعدة
حمص,صناعة هندسية,545.2,0.27,فرصة واعدة
الرقة,تجارة إلكترونية,18.8,0.68,استثمار متوسط
السويداء,خدمات تقنية,9.1,0.28,استثمار متوسط
إدلب,زراعة حديثة,96.7,0.35,فرصة واعدة
اللاذقية,تصنيع غذائي,230.7,0.42,فرصة واعدة
الحسكة,زراعة حديثة,94.3,0.12,فرصة واعدة
ريف دمشق,خدمات تقنية,8.7,0.68,مخاطرة عالية
حمص,صناعة هندسية,923.4,0.42,فرصة واعدة
حمص,تصنيع غذائي,40.5,0.15,استثمار متوسط
دير الزور,طاقة متجددة,272.2,0.43,فرصة واعدة
دير الزور,زراعة حديثة,139.1,0.47,فرصة واعدة
دير الزور,تصنيع غذائي,103.8,0.3,فرصة واعدة
إدلب,تصنيع غذائي,113.6,0.65,مخاطرة عالية
الحسكة,تصنيع غذائي,87.0,0.58,مخاطرة عالية
طرطوس,تجارة إلكترونية,15.1,0.47,استثمار متوسط
حمص,خدمات تقنية,19.9,0.63,فرصة واعدة
ريف دمشق,خدمات تقنية,4.1,0.1,مخاطرة عالية
حلب,زراعة حديثة,137.3,0.33,فرصة واعدة
طرطوس,خدمات تقنية,19.7,0.54,فرصة واعدة
ريف دمشق,تجارة إلكترونية,18.6,0.1,فرصة واعدة
الحسكة,خدمات تقنية,20.7,0.52,فرصة واعدة
ريف دمشق,تجارة إلكترونية,11.3,0.17,استثمار متوسط
إدلب,صناعة هندسية,268.0,0.4,استثمار متوسط
ريف دمشق,صناعة هندسية,879.3,0.29,فرصة واعدة
حلب,صناعة هندسية,233.9,0.28,مخاطرة عالية
ريف دمشق,طاقة متجددة,333.6,0.45,فرصة واعدة
دمشق,تجارة إلكترونية,14.8,0.4,مخاطرة عالية
الرقة,صناعة هندسية,243.2,0.4,مخاطرة عالية
الرقة,زراعة حديثة,115.2,0.46,فرصة واعدة
الرقة,زراعة حديثة,145.4,0.22,فرصة واعدة
حماة,خدمات تقنية,5.2,0.69,مخاطرة عالية
إدلب,صناعة هندسية,590.9,0.33,فرصة واعدة
الحسكة,طاقة متجددة,158.7,0.56,مخاطرة عالية
القنيطرة,صناعة هندسية,1096.0,0.47,فرصة واعدة
القنيطرة,طاقة متجددة,115.5,0.4,مخاطرة عالية
القنيطرة,تصنيع غذائي,300.0,0.29,فرصة واعدة
حلب,خدمات تقنية,23.5,0.66,فرصة واعدة
القنيطرة,تصنيع غذائي,48.2,0.61,مخاطرة عالية
إدلب,طاقة متجددة,92.1,0.53,مخاطرة عالية
اللاذقية,تجارة إلكترونية,38.1,0.35,فرصة واعدة
الرقة,زراعة حديثة,62.4,0.2,فرصة واعدة
القنيطرة,تجارة إلكترونية,44.8,0.6,فرصة واعدة
القنيطرة,تجارة إلكترونية,7.4,0.16,مخاطرة عالية
دير الزور,طاقة متجددة,238.8,0.4,فرصة واعدة
طرطوس,تصنيع غذائي,151.4,0.56,فرصة واعدة
درعا,تصنيع غذائي,221.7,0.53,فرصة واعدة
القنيطرة,خدمات تقنية,14.9,0.63,فرصة واعدة
الرقة,طاقة متجددة,430.3,0.53,فرصة واعدة
ريف دمشق,تجارة إلكترونية,44.6,0.25,فرصة واعدة
طرطوس,زراعة حديثة,64.7,0.36,فرصة واعدة
حلب,طاقة متجددة,324.6,0.5,فرصة واعدة
طرطوس,تجارة إلكترونية,21.5,0.49,فرصة واعدة
حمص,زراعة حديثة,47.8,0.55,مخاطرة عالية
درعا,زراعة حديثة,124.5,0.24,فرصة واعدة
ريف دمشق,زراعة حديثة,132.2,0.62,فرصة واعدة
